VisitID,UserID,SessionID,PageURL,ReferrerURL,Timestamp,Country,Browser,OperatingSystem,DeviceType,PageLoadTime,PageResponseTime,Clicks,SessionDuration,PageViews,Conversion,BounceRate,CampaignSource,AdClicks,Revenue
15,1441,67022,http://www.carpenter.com/,http://moore-fisher.com/,2024-06-03 01:40:35,Maldives,Opera,Android,Tablet,9.8,1969,5,2646,32,0,0,Instagram,1,89.12
16,849,23304,https://ortega.biz/,http://cook.com/,2024-03-31 02:31:29,Cote d'Ivoire,Chrome,iOS,Tablet,3.75,446,6,2223,37,0,1,Twitter,9,83.36
17,1644,17354,http://www.patel-mitchell.net/,http://atkins.com/,2024-06-14 21:37:57,Cambodia,Edge,Linux,Desktop,7.42,1987,18,3242,37,1,1,Twitter,2,61.71
18,1393,25869,http://fox.com/,http://herrera.com/,2024-06-08 21:17:42,Malta,Edge,Windows,Mobile,0.52,740,11,2731,26,1,0,LinkedIn,4,1.22
19,1456,13721,https://www.simmons.com/,http://torres.net/,2024-07-17 13:14:51,Ecuador,Chrome,Linux,Tablet,8.81,225,9,3194,25,0,1,Google,3,498.73
20,120,30200,http://odonnell.com/,http://www.gonzalez.com/,2024-06-14 21:31:53,Luxembourg,Firefox,iOS,Desktop,7.26,1600,3,320,42,1,1,Facebook,8,42.4
21,756,64904,https://anderson.org/,https://www.harrison.com/,2024-05-25 07:20:35,Saint Vincent and the Grenadines,Opera,Linux,Tablet,0.69,443,8,62,10,1,1,Facebook,4,2.19
22,1816,6606,http://larsen.com/,https://www.shepherd.com/,2024-02-15 00:51:11,Indonesia,Opera,Mac OS,Desktop,8.44,100,13,1071,41,0,1,Instagram,4,61.08
23,1191,61186,http://miller.info/,https://johnson.biz/,2024-03-21 22:53:05,Canada,Chrome,iOS,Mobile,8.45,1058,15,2102,15,0,1,Facebook,0,173.45
24,1120,58954,https://franco.biz/,http://henry-ashley.org/,2024-03-31 03:10:43,French Polynesia,Safari,iOS,Mobile,9.33,1491,19,448,33,0,0,Facebook,4,446.21
25,599,70395,http://www.castillo.biz/,https://white.com/,2024-03-08 18:35:55,Jersey,Safari,Android,Desktop,8.02,344,3,950,14,0,1,Twitter,1,14.95
26,171,2281,https://long.org/,https://waller.com/,2024-03-16 06:16:34,Cote d'Ivoire,Firefox,Windows,Tablet,2.41,1126,5,2092,20,0,1,Twitter,9,291.8
27,281,9951,http://www.davis-harris.com/,http://www.navarro.biz/,2024-04-01 15:15:48,Libyan Arab Jamahiriya,Opera,Mac OS,Mobile,2.11,919,13,1787,18,0,0,Twitter,5,225.51
28,1217,21130,https://anderson.com/,https://www.jimenez.com/,2024-01-19 02:13:58,Turkmenistan,Edge,Linux,Desktop,5.37,221,10,559,8,1,0,Facebook,7,327.27
29,1993,11148,https://www.massey-lee.net/,http://www.pruitt.info/,2024-06-15 16:55:25,Hungary,Firefox,Linux,Tablet,2.75,635,6,450,42,1,1,Twitter,8,426.32
30,810,34671,https://www.wade.com/,http://ochoa-parker.net/,2024-01-13 17:05:00,New Zealand,Chrome,Linux,Desktop,1.11,399,3,1440,40,0,1,LinkedIn,7,223.82
31,189,64115,http://conway.biz/,http://curry.com/,2024-05-02 15:28:01,Ghana,Edge,Mac OS,Mobile,7.28,880,3,3021,40,0,1,Twitter,2,207.68
32,348,45559,https://cox.com/,https://bowen.com/,2024-05-28 06:53:58,Tuvalu,Firefox,Android,Desktop,6.73,1755,18,963,20,1,0,Instagram,6,273.79
33,554,6143,http://williams-davis.com/,https://www.michael-jennings.org/,2024-01-29 06:39:03,Equatorial Guinea,Opera,Linux,Mobile,0.81,281,3,3586,17,0,1,Instagram,6,498.33
34,1881,25414,https://chavez.com/,http://www.webb.com/,2024-07-21 10:55:05,Jamaica,Opera,iOS,Mobile,2.16,436,10,3161,42,0,1,Twitter,6,322.09
35,697,30663,https://alexander.com/,https://long.com/,2024-03-23 15:00:13,Cameroon,Chrome,Mac OS,Tablet,2.8,978,1,3321,23,0,0,Instagram,6,273.79
36,229,63530,http://www.scott-wilkinson.org/,https://rogers-valdez.net/,2024-04-19 23:02:50,Italy,Edge,Android,Desktop,8.98,479,2,3097,12,0,0,Google,5,382.97
37,518,50255,https://www.kelly-hawkins.com/,http://www.cummings.biz/,2024-01-05 01:32:56,Thailand,Chrome,Mac OS,Mobile,0.88,856,1,2334,4,1,0,Instagram,7,318.81
38,871,17760,https://caldwell.info/,http://www.jones.info/,2024-01-26 19:46:43,Nauru,Chrome,Android,Tablet,3.84,779,5,1999,22,1,0,Twitter,6,349.52
39,1908,49082,https://lowe-stephens.biz/,http://lynch-morrow.com/,2024-07-14 22:12:30,Niger,Chrome,Mac OS,Desktop,2.6,1902,18,1430,27,1,0,LinkedIn,2,5.75
40,1287,79986,http://www.mason-jordan.com/,http://rollins.net/,2024-07-01 09:45:49,American Samoa,Chrome,Linux,Mobile,1.13,333,7,2354,3,1,1,Twitter,7,303.21
41,784,27927,http://www.simmons.org/,https://www.gallagher-vance.com/,2024-01-31 08:52:43,Slovenia,Chrome,Mac OS,Desktop,1.02,1796,4,2282,17,0,1,LinkedIn,0,455.75
42,404,31283,http://kelly.com/,http://www.ortega.org/,2024-07-22 21:34:04,Armenia,Opera,Linux,Mobile,5.77,1356,16,2036,22,0,0,LinkedIn,9,36.11
43,802,60337,https://williams.com/,https://www.boyle.com/,2024-01-19 10:37:42,Sao Tome and Principe,Safari,Linux,Tablet,1.57,1435,14,70,15,0,0,Twitter,1,423.69
44,1684,27333,http://www.williams-davis.net/,https://www.acosta-reed.info/,2024-07-14 15:57:41,France,Edge,iOS,Tablet,6.86,1615,0,2640,44,1,0,Google,5,68.83
45,1300,51744,http://brown.com/,https://www.rivera-rodriguez.com/,2024-03-26 23:51:25,Central African Republic,Safari,Android,Desktop,3.61,504,2,3320,49,0,0,Twitter,3,441.29
46,348,89647,http://www.johnson.net/,https://www.johnson.biz/,2024-01-27 18:36:52,Haiti,Firefox,Android,Mobile,8.44,1996,12,1254,34,0,0,Facebook,8,199.53
47,1809,20125,http://white.org/,http://www.prince.info/,2024-05-23 13:36:10,Botswana,Chrome,Mac OS,Mobile,6.0,839,6,3372,48,0,0,LinkedIn,3,310.63
48,673,93594,http://www.rodriguez.net/,http://nunez.com/,2024-03-27 09:57:46,Egypt,Edge,Android,Mobile,6.05,1048,5,2418,25,0,1,Google,1,1.16
49,1890,13033,https://www.anderson.info/,https://www.myers.com/,2024-05-21 14:41:29,Jersey,Firefox,Windows,Tablet,8.14,1160,0,602,5,0,1,Facebook,2,418.43
50,475,28298,http://perez.net/,http://www.walsh.com/,2024-05-22 14:05:26,United Kingdom,Safari,Linux,Desktop,5.92,1714,19,1049,32,0,0,Google,8,168.3
51,303,43105,https://www.roman.biz/,http://ho.net/,2024-04-25 16:10:30,Peru,Firefox,iOS,Desktop,1.58,1005,0,196,16,1,0,Twitter,5,29.88
52,693,12137,https://www.williams.com/,http://maxwell-riley.biz/,2024-06-26 14:09:23,Saint Vincent and the Grenadines,Firefox,Mac OS,Tablet,8.17,961,19,2432,49,1,0,LinkedIn,4,427.92
53,629,69770,http://www.garcia.org/,http://www.ortega.org/,2024-05-18 22:44:58,Burundi,Firefox,Windows,Mobile,1.54,556,14,3159,2,1,1,Twitter,2,445.07
54,508,39457,http://www.hunter-michael.biz/,https://campbell.info/,2024-04-28 08:16:48,Papua New Guinea,Firefox,Windows,Desktop,6.79,1488,0,1932,40,1,0,LinkedIn,2,145.74
55,1936,44124,http://www.wagner.net/,https://lawson.com/,2024-07-06 17:21:23,Iraq,Opera,Mac OS,Mobile,9.0,1895,6,3140,8,0,1,Instagram,5,355.8
56,1807,8154,http://www.bowen-hall.com/,http://paul-barron.org/,2024-03-18 13:52:17,Cambodia,Edge,Windows,Desktop,1.35,876,5,3367,39,0,0,Instagram,6,297.48
57,1540,94484,https://curtis.com/,http://www.anderson.com/,2024-07-04 17:42:22,Antigua and Barbuda,Chrome,Mac OS,Mobile,3.64,1447,6,1192,32,0,0,Google,7,173.8
58,1755,4269,https://franklin.info/,https://santiago.biz/,2024-01-13 20:26:48,Australia,Edge,iOS,Desktop,0.79,933,15,1881,34,0,0,Facebook,8,18.98
59,1372,14101,https://stewart-hernandez.com/,http://www.mitchell.com/,2024-05-26 01:22:58,Heard Island and McDonald Islands,Firefox,Android,Mobile,3.49,1827,19,1631,15,0,0,Google,1,97.57
60,1086,20522,https://www.weber.com/,http://www.gonzales.biz/,2024-02-12 05:25:48,Jersey,Safari,iOS,Mobile,2.94,760,18,2419,5,1,1,Instagram,4,414.12
61,904,12377,https://reid.com/,http://carter.org/,2024-04-02 16:31:08,Reunion,Edge,Linux,Tablet,8.59,1154,15,2321,44,0,1,Instagram,8,421.05
62,1667,53281,https://www.johnson.net/,https://www.wilson.org/,2024-02-18 14:47:36,Benin,Safari,iOS,Mobile,5.67,1399,13,412,9,0,1,Google,5,381.63
63,53,65631,https://www.mitchell-chambers.biz/,https://www.little.com/,2024-01-13 06:47:26,Kazakhstan,Firefox,iOS,Tablet,1.78,547,3,3538,24,0,0,Twitter,7,495.73
64,120,79163,https://smith.info/,https://griffin.com/,2024-02-22 06:42:50,Qatar,Chrome,Mac OS,Mobile,5.22,689,8,681,30,0,1,Google,6,459.56
65,259,13439,https://www.taylor-santiago.net/,https://wall-smith.com/,2024-06-22 17:10:56,Slovakia (Slovak Republic),Edge,iOS,Desktop,9.79,369,0,2113,23,1,0,Instagram,8,168.73
66,1970,6697,http://howell-white.com/,http://www.moore-price.net/,2024-02-28 11:57:48,Papua New Guinea,Opera,Mac OS,Desktop,2.43,1952,6,874,34,0,1,Instagram,8,256.85
67,1192,95469,http://giles.com/,http://mccarthy.com/,2024-01-19 14:40:34,Oman,Edge,Linux,Tablet,2.64,1660,1,2682,10,1,1,Twitter,9,84.71
68,1432,1613,http://www.collins.com/,https://harris-hamilton.com/,2024-06-18 00:19:42,Seychelles,Opera,Windows,Tablet,2.45,541,17,3134,36,0,0,LinkedIn,0,414.25
69,1943,56824,http://www.harris.com/,http://james-mathis.info/,2024-03-10 02:48:24,France,Opera,Linux,Desktop,8.01,1415,12,1101,27,1,1,Google,2,457.33
70,440,91242,https://smith.net/,http://www.jackson.com/,2024-03-19 06:54:25,United States of America,Safari,Linux,Tablet,2.13,1447,17,3389,21,0,1,LinkedIn,5,360.23
71,343,86565,https://flores-crawford.org/,http://www.villanueva.com/,2024-04-24 15:14:16,Switzerland,Edge,iOS,Desktop,4.1,1994,17,1161,23,1,0,Facebook,0,39.58
72,1768,29119,http://ross.org/,http://www.greer.info/,2024-06-25 12:27:09,United States Virgin Islands,Firefox,Linux,Desktop,9.71,107,12,2958,47,1,0,Twitter,2,135.27
73,456,29448,http://jones.org/,https://collins-ellis.com/,2024-03-17 05:01:39,Palau,Chrome,Mac OS,Mobile,0.13,732,16,3490,29,0,0,Facebook,6,451.07
74,1598,65859,https://cross.com/,https://www.galvan.net/,2024-01-11 04:18:58,Estonia,Opera,Windows,Mobile,7.38,1238,3,1199,35,1,0,Google,2,451.41
75,877,64220,http://mack.biz/,https://www.hudson-king.com/,2024-03-28 00:57:32,Northern Mariana Islands,Safari,iOS,Desktop,1.77,1683,10,2302,17,1,0,Twitter,9,82.6
76,181,51660,http://www.leach.net/,https://www.thompson.com/,2024-03-02 21:06:12,Ghana,Firefox,Mac OS,Desktop,2.35,749,7,2925,20,1,0,Google,9,369.6
77,1158,50574,https://www.reyes-bautista.biz/,https://www.burke.info/,2024-03-22 16:44:11,Uganda,Firefox,Linux,Tablet,3.98,445,17,442,16,0,1,Twitter,5,430.45
78,1877,44103,https://www.torres.net/,http://young.com/,2024-02-09 05:36:58,Congo,Chrome,Mac OS,Tablet,2.99,1127,0,985,34,1,0,Facebook,0,84.03
79,1492,39000,http://www.reynolds.com/,https://www.love.com/,2024-05-06 22:18:53,New Zealand,Safari,Android,Mobile,9.44,596,6,3393,24,1,1,Facebook,0,113.87
80,824,67922,http://paul.org/,https://wilson.biz/,2024-01-28 01:21:59,Equatorial Guinea,Edge,Windows,Desktop,4.62,893,17,3416,6,1,1,Google,6,390.7
81,332,76603,https://www.miller.com/,http://hendricks.org/,2024-02-07 19:37:35,Brazil,Firefox,Mac OS,Desktop,4.06,376,0,2379,29,1,1,Twitter,5,90.4
82,1681,20881,http://york.com/,https://www.white.biz/,2024-03-07 11:16:15,United States of America,Edge,Mac OS,Mobile,8.58,1129,10,3400,28,1,1,Facebook,4,100.84
83,1971,67439,http://www.perez.com/,http://www.smith.com/,2024-03-21 14:29:15,Micronesia,Safari,Mac OS,Desktop,6.02,1906,2,124,26,0,1,Instagram,3,72.84
84,452,72434,http://www.knight.com/,http://day.info/,2024-06-12 20:56:55,Taiwan,Opera,Mac OS,Tablet,6.95,1684,12,1267,16,1,1,Instagram,2,17.09
85,1239,11771,https://ramirez.biz/,https://taylor-rosales.org/,2024-04-01 23:23:40,Chad,Safari,Linux,Desktop,3.33,1749,2,1666,47,1,1,Google,7,56.71
86,1422,94601,http://johnson.com/,http://salazar-hendricks.biz/,2024-02-11 08:47:12,Tajikistan,Opera,iOS,Mobile,3.43,255,18,2191,26,0,1,Facebook,4,185.29
87,1461,5426,http://garcia.com/,http://bennett-jones.net/,2024-02-02 01:14:17,Christmas Island,Edge,Mac OS,Mobile,4.42,335,12,2239,12,0,1,Facebook,0,122.65
88,1774,65474,http://www.jordan-parker.net/,http://clark.org/,2024-03-20 09:14:08,United States of America,Firefox,Android,Desktop,2.23,1962,14,2581,39,1,1,LinkedIn,6,376.69
89,950,30500,http://mitchell.com/,http://www.long.com/,2024-01-24 21:31:06,Saint Barthelemy,Firefox,Windows,Mobile,1.56,149,2,1564,11,0,1,LinkedIn,6,313.35
90,1921,55295,http://www.mathis-shaw.com/,http://www.velazquez.com/,2024-06-08 10:30:52,Lesotho,Chrome,Linux,Tablet,2.51,1839,15,3320,38,0,1,LinkedIn,1,237.2
91,1845,28875,https://www.williams.com/,https://www.hill.com/,2024-04-26 04:07:22,Timor-Leste,Edge,iOS,Mobile,4.02,865,18,3201,24,0,1,Google,4,71.83
92,1144,65186,http://hughes-lutz.com/,http://henderson.biz/,2024-06-27 09:46:03,Burkina Faso,Opera,Android,Mobile,7.15,548,17,2410,40,1,1,Instagram,8,338.46
93,1821,41404,https://www.mccarthy-ponce.org/,http://parsons.com/,2024-07-21 18:30:27,Honduras,Edge,Android,Mobile,2.31,1998,14,481,21,1,0,Instagram,3,78.4
94,499,2719,https://www.watson.net/,http://www.jones.com/,2024-05-01 02:28:18,Mali,Chrome,Windows,Tablet,2.79,383,1,3514,37,0,1,LinkedIn,9,366.9
95,627,33624,https://zimmerman-davis.com/,http://wheeler.com/,2024-01-05 20:41:19,Kuwait,Firefox,Android,Mobile,0.98,1298,13,3066,48,0,0,Instagram,6,57.69
96,1673,85215,https://www.cox-thompson.com/,http://webb.com/,2024-07-12 22:04:33,Spain,Safari,Linux,Desktop,9.85,1916,17,1193,49,1,1,LinkedIn,2,240.0
97,1978,61243,https://smith-porter.info/,http://miller.org/,2024-04-22 20:38:04,Saint Pierre and Miquelon,Safari,iOS,Mobile,3.6,500,5,2221,22,0,0,Instagram,4,483.49
98,1696,85476,http://finley.com/,https://www.nunez.com/,2024-02-03 06:55:09,Slovenia,Edge,Linux,Desktop,5.77,1782,7,2520,34,0,1,Facebook,2,184.24
99,821,41238,https://hawkins.org/,https://www.bailey-beck.com/,2024-04-13 18:14:18,Denmark,Chrome,iOS,Mobile,3.37,1237,8,2845,4,1,0,Instagram,6,4.77
100,47,70797,http://www.gordon.org/,https://horton.com/,2024-01-30 10:52:00,Guinea-Bissau,Opera,Android,Tablet,7.71,258,4,3259,28,0,1,LinkedIn,4,127.47
101,482,7024,https://smith.com/,https://www.bowman-williams.com/,2024-04-25 20:04:28,Indonesia,Firefox,iOS,Tablet,6.64,840,17,1447,32,1,0,Instagram,2,64.22
102,1234,49510,https://www.howard-kelley.com/,http://lewis.com/,2024-07-16 10:37:50,Kyrgyz Republic,Safari,Android,Mobile,7.21,1477,4,374,8,1,0,Facebook,2,422.54
103,318,15964,http://www.gibson.com/,https://www.hill.net/,2024-02-28 19:13:12,Timor-Leste,Firefox,Android,Tablet,3.46,1731,9,555,11,1,0,LinkedIn,6,338.73
104,1509,87961,http://www.warren.com/,https://www.pollard.biz/,2024-01-19 05:27:08,New Caledonia,Edge,Linux,Tablet,9.5,1158,12,2362,40,1,1,Google,8,16.25
105,1973,96182,http://barnes.com/,http://brewer.com/,2024-02-02 00:54:58,Lithuania,Chrome,Mac OS,Desktop,2.82,522,18,1831,48,1,0,Instagram,1,400.24
106,493,86088,http://www.hayden.biz/,https://www.montgomery.com/,2024-07-06 12:46:13,Greenland,Opera,Windows,Mobile,4.47,1576,16,2797,17,0,0,LinkedIn,7,144.49
107,1260,21394,https://lopez.com/,http://green-smith.com/,2024-05-15 03:41:17,Mali,Opera,Windows,Mobile,0.78,978,14,2822,30,0,1,Facebook,5,303.18
108,688,97347,http://martin.biz/,https://www.diaz.com/,2024-01-12 04:18:27,Martinique,Edge,Windows,Desktop,6.53,1609,14,2955,44,1,1,Twitter,2,103.9
109,664,18292,https://andrews.com/,https://www.espinoza.net/,2024-04-12 21:17:15,Cambodia,Edge,Android,Desktop,4.41,898,19,2580,45,1,0,Facebook,9,53.29
110,691,35700,https://www.brady-wilkins.com/,https://www.gomez.info/,2024-02-27 06:13:02,Uganda,Edge,Android,Mobile,8.19,1817,14,2201,44,0,0,Google,2,255.35
111,993,32427,http://thompson.com/,http://bradley.com/,2024-05-04 09:21:04,Mayotte,Edge,iOS,Tablet,1.59,1236,16,3555,41,1,1,Facebook,6,170.01
112,1376,82764,https://www.perry.biz/,http://ellison-farmer.info/,2024-05-21 13:21:41,Congo,Safari,Windows,Tablet,3.35,1584,19,903,20,0,0,Google,8,405.76
113,756,71965,http://hardy-haynes.com/,http://robertson-thomas.com/,2024-03-18 01:18:31,Taiwan,Edge,Linux,Mobile,4.22,328,5,3152,45,0,1,Twitter,5,61.32
114,32,33786,http://www.williams.org/,https://booker.biz/,2024-04-16 23:22:06,Guernsey,Edge,Linux,Desktop,2.09,868,3,372,13,1,1,Instagram,4,332.28
115,548,53477,https://clark.com/,http://acosta.com/,2024-01-21 11:21:28,Dominica,Chrome,Mac OS,Mobile,0.3,1297,10,891,31,0,1,Instagram,7,362.64
116,1948,15586,https://www.kent.org/,https://mathis.com/,2024-04-17 21:22:45,United Arab Emirates,Opera,iOS,Tablet,1.19,1070,2,3383,2,1,1,LinkedIn,9,65.5
117,1279,90419,http://hood.com/,https://www.hughes-perez.biz/,2024-02-09 04:26:34,Central African Republic,Edge,Windows,Desktop,9.5,1544,5,1866,34,1,0,Instagram,4,482.25
118,695,83360,https://www.saunders-bentley.com/,http://hunter.biz/,2024-03-17 13:44:57,Ireland,Firefox,Windows,Mobile,7.04,795,15,524,27,1,1,Facebook,7,317.53
119,982,37704,http://www.hobbs-perez.com/,https://www.johnson.com/,2024-02-22 15:52:45,Paraguay,Edge,Windows,Mobile,5.24,755,11,1029,28,0,0,Twitter,4,149.17
120,1012,3898,http://whitaker.biz/,http://www.harrison-love.com/,2024-04-29 02:42:51,South Africa,Safari,Windows,Mobile,9.07,1638,0,2517,29,1,0,Facebook,8,216.28
121,196,99693,http://anderson.com/,http://nolan-moody.com/,2024-06-27 11:54:18,Svalbard & Jan Mayen Islands,Safari,Android,Tablet,1.94,568,12,2962,28,0,1,LinkedIn,2,50.9
122,641,95125,https://www.santos.net/,http://parks-west.biz/,2024-01-27 00:51:22,Greece,Firefox,Android,Mobile,9.86,1173,1,2532,42,1,1,Facebook,7,461.94
123,1536,59562,http://arnold-white.net/,https://brooks.com/,2024-01-07 01:56:13,Romania,Edge,Mac OS,Mobile,5.9,370,10,782,7,1,1,Facebook,2,136.42
124,932,65146,http://simpson-ramirez.com/,http://www.smith-mayo.com/,2024-06-01 08:45:26,Ireland,Edge,iOS,Mobile,2.74,694,16,800,11,0,0,LinkedIn,6,282.14
125,295,25212,http://www.martinez.com/,http://malone-watson.biz/,2024-01-12 22:41:18,Barbados,Firefox,Linux,Desktop,2.13,977,3,623,33,0,0,Instagram,5,244.32
126,57,44059,http://pierce-carr.net/,http://brown.com/,2024-05-23 16:43:35,Japan,Edge,Linux,Desktop,3.58,1559,4,3573,42,0,0,Google,1,25.0
127,201,90600,https://www.quinn.com/,https://taylor.info/,2024-01-07 00:02:50,Belgium,Opera,Android,Desktop,7.48,247,16,2832,31,1,0,Google,1,154.67
128,1265,71384,https://www.murray.com/,https://www.baker-garcia.com/,2024-03-06 20:19:39,Mali,Chrome,Android,Mobile,9.69,1087,5,711,25,0,0,Instagram,0,235.38
129,9,55750,http://www.potts-acevedo.info/,http://www.baldwin.com/,2024-03-11 17:12:48,Jersey,Safari,iOS,Mobile,2.08,1909,14,103,41,0,1,LinkedIn,6,467.0
130,1848,17366,https://www.thomas.org/,https://bailey.com/,2024-06-20 17:07:50,Trinidad and Tobago,Firefox,Android,Mobile,7.89,213,11,3508,42,1,0,Twitter,4,382.3
131,1699,82010,http://www.aguirre.biz/,https://www.mendez.net/,2024-03-14 11:15:46,Cape Verde,Chrome,Linux,Tablet,6.38,1277,19,1527,18,1,0,Instagram,0,122.35
132,1189,33074,http://bowman.com/,https://www.archer-miller.com/,2024-07-20 11:29:04,Kenya,Chrome,Linux,Desktop,4.19,358,0,1315,22,1,0,Google,3,16.41
133,993,83960,https://www.gonzalez.com/,http://www.castro.com/,2024-03-30 19:06:15,Yemen,Opera,Android,Tablet,3.84,1187,4,1170,10,0,1,Google,0,456.43
134,7,91138,http://www.arnold.com/,https://www.williams.com/,2024-02-12 10:22:19,Honduras,Chrome,Android,Desktop,1.6,683,9,320,19,1,0,Google,2,459.59
135,231,59617,https://rodriguez-white.com/,http://nichols-johnson.com/,2024-01-30 04:49:12,Angola,Safari,iOS,Tablet,7.3,1075,9,3297,8,1,0,Google,1,50.97
136,1285,74225,http://henderson.biz/,https://www.moore.com/,2024-06-29 03:29:27,French Guiana,Opera,Android,Desktop,8.36,1163,18,1000,9,0,1,Twitter,2,215.65
137,1623,91892,http://turner.com/,https://www.griffith.org/,2024-02-12 15:08:12,Tajikistan,Chrome,Linux,Tablet,3.61,306,8,2725,43,1,1,LinkedIn,5,225.83
138,23,1965,https://walters-burgess.net/,http://www.cameron-martin.biz/,2024-01-16 02:47:28,Saudi Arabia,Safari,Mac OS,Desktop,1.57,1258,18,180,27,1,1,Twitter,2,165.92
139,787,76129,https://www.roberts.biz/,http://www.rivera-white.net/,2024-01-13 08:41:39,Macao,Opera,Mac OS,Mobile,7.47,713,2,224,33,0,1,Twitter,6,99.61
140,1927,9195,https://www.rodriguez.com/,http://www.nichols.com/,2024-01-03 03:49:27,Suriname,Opera,Mac OS,Desktop,6.87,1952,15,920,41,1,1,Twitter,9,395.14
141,606,9861,http://www.simmons.org/,http://www.johnson.info/,2024-06-25 07:55:39,Iraq,Chrome,Windows,Mobile,4.64,808,2,484,43,0,0,Twitter,0,474.94
142,399,63651,https://www.sweeney.org/,http://www.walker.com/,2024-06-24 12:47:44,El Salvador,Edge,Android,Desktop,3.81,230,5,3304,32,1,0,Facebook,4,476.67
143,285,67994,https://wright-burns.com/,https://www.hernandez-roberts.com/,2024-01-31 10:03:43,Serbia,Edge,Mac OS,Tablet,0.92,1776,10,2232,45,1,1,Twitter,0,207.9
144,1802,75806,http://www.alvarez-elliott.com/,https://ford.com/,2024-07-04 21:22:33,Serbia,Firefox,Linux,Desktop,8.91,610,7,828,28,0,0,Twitter,1,287.32
145,551,29049,http://johnson-bennett.com/,https://www.ortiz.com/,2024-04-04 14:56:21,Congo,Opera,Linux,Mobile,1.91,371,19,1814,9,1,1,LinkedIn,5,35.41
146,98,77346,https://hudson.org/,https://armstrong.com/,2024-01-05 04:13:06,Wallis and Futuna,Chrome,iOS,Mobile,0.7,1475,14,2589,7,0,1,Instagram,2,353.41
147,1731,81460,https://white-hammond.org/,https://www.barton.com/,2024-04-12 16:39:17,Serbia,Edge,Linux,Mobile,2.83,407,10,1853,20,1,1,Facebook,2,336.05
148,719,71555,http://shelton-cole.com/,http://www.crawford-beltran.com/,2024-02-25 14:18:15,Tajikistan,Firefox,Android,Tablet,5.01,172,2,2893,37,1,1,Instagram,6,92.46
149,679,20922,https://lewis.net/,http://waters.com/,2024-07-23 23:36:12,Bahamas,Safari,Android,Tablet,5.85,758,1,2823,14,0,0,Google,9,204.56
150,1781,15799,https://nelson-vega.com/,http://www.booth.com/,2024-07-20 03:06:10,Poland,Safari,iOS,Tablet,3.28,1355,4,3332,15,0,0,LinkedIn,4,170.49
151,480,4597,https://www.nguyen-craig.net/,https://horton-bennett.net/,2024-05-19 07:54:09,Malaysia,Edge,Linux,Mobile,8.53,1207,4,1943,6,1,0,LinkedIn,7,134.67
